时间,基准收益,策略收益,当日盈利,当日亏损,当日买入,当日卖出,超额收益(%)
2020-03-02 16:00:00,3.66,0,0,0,0,0,-3.53
2020-03-03 16:00:00,4.52,-1.76,0,-1764,99081,0,-6.01
2020-03-04 16:00:00,4.66,-0.23,1532,0,0,0,-4.67
2020-03-05 16:00:00,6.37,3,3228,0,0,0,-3.17
2020-03-06 16:00:00,5.79,3.28,285,0,0,0,-2.37
2020-03-09 16:00:00,1.69,1.42,0,-1859,0,0,-0.27
2020-03-10 16:00:00,4.03,4.51,3089.46,0,11394,-10538,0.46
2020-03-11 16:00:00,2.43,5.87,1358,0,0,0,3.36
2020-03-12 16:00:00,0.11,5.71,0,-163.55,12937,-15555,5.59
2020-03-13 16:00:00,-0.92,4.49,0,-1218,0,0,5.46
2020-03-16 16:00:00,-5.75,1.3,0,-3188,0,0,7.48
2020-03-17 16:00:00,-6.09,1.05,0,-252,2076,0,7.6
2020-03-18 16:00:00,-7.32,-0.29,0,-1334,0,0,7.59
2020-03-19 16:00:00,-6.66,0.78,1067.02,0,10065.8,-11178,7.97
2020-03-20 16:00:00,-5.68,3.94,3159.9,0,0,0,10.2
2020-03-23 16:00:00,-9.82,1.17,0,-2770.7,0,0,12.19
2020-03-24 16:00:00,-8.26,3.28,2106.91,0,22490,-23354.4,12.58
2020-03-25 16:00:00,-5.57,4.84,1561,0,0,0,11.02
2020-03-26 16:00:00,-6.55,2.94,0,-1903,0,0,10.16
2020-03-27 16:00:00,-7.13,4.07,1131,0,0,0,12.06
2020-03-30 16:00:00,-8.98,1.09,0,-2978.1,26036,-24096,11.06
2020-03-31 16:00:00,-8.32,-0.69,0,-1782.02,13020,-15024,8.32
2020-04-01 16:00:00,-8.63,-1.11,0,-412.61,10071.8,-13608,8.23
2020-04-02 16:00:00,-6.46,0.53,1634.1,0,0,0,7.47
2020-04-03 16:00:00,-6.86,0.53,0,-0.4,0,0,7.93
2020-04-07 16:00:00,-3.82,3.02,2492.1,0,0,0,7.11
2020-04-08 16:00:00,-4,3.48,462.4,0,11526,-10075,7.79
2020-04-09 16:00:00,-3.28,5.5,2023,0,0,0,9.08
2020-04-10 16:00:00,-5.42,2.74,0,-2763.93,16260,-11934,8.63
2020-04-13 16:00:00,-6.28,1.58,0,-1161,0,0,8.39
2020-04-14 16:00:00,-3.99,2.97,1393.19,0,13974,-14812,7.25
2020-04-15 16:00:00,-4.38,1.6,0,-1368,0,0,6.25
2020-04-16 16:00:00,-3.95,1.96,351,0,0,0,6.15
2020-04-17 16:00:00,-3.63,2.05,98,0,0,0,5.89
2020-04-20 16:00:00,-2.55,3.89,1839,0,0,0,6.61
2020-04-21 16:00:00,-3.34,3.29,0,-605.89,11473,-13889,6.86
2020-04-22 16:00:00,-2.29,4.29,1002,0,0,0,6.73
2020-04-23 16:00:00,-2.75,3.25,0,-1035,0,0,6.17
2020-04-24 16:00:00,-4.32,1.25,0,-2001.98,10083.4,-10982,5.82
2020-04-27 16:00:00,-4.24,-0.72,0,-1974.29,10083.5,-9990,3.68
2020-04-28 16:00:00,-4.54,-4.31,0,-3585.76,50454,-46925.6,0.24
2020-04-29 16:00:00,-4.66,-4.32,0,-16,0,0,0.36
2020-04-30 16:00:00,-2.74,-0.95,3373,0,0,0,1.84
2020-05-06 16:00:00,-1.23,2.37,3317,0,0,0,3.64
2020-05-07 16:00:00,-1.46,1.15,0,-1217.54,27012,-27540,2.65
2020-05-08 16:00:00,-0.54,2.58,1432,0,0,0,3.14
2020-05-11 16:00:00,-0.83,3.26,676,0,0,0,4.12
2020-05-12 16:00:00,-0.59,3.65,392.23,0,10100,-9768,4.27
2020-05-13 16:00:00,0.13,2.95,0,-694,0,0,2.82
2020-05-14 16:00:00,-0.98,1.72,0,-1231,0,0,2.73
2020-05-15 16:00:00,-0.88,1.18,0,-546,0,0,2.08
2020-05-18 16:00:00,-1.5,-0.56,0,-1737,0,0,0.95
2020-05-19 16:00:00,-0.11,-0.13,425.63,0,10602,-13370,-0.02
2020-05-20 16:00:00,-1.07,0.5,632,0,0,0,1.59
2020-05-21 16:00:00,-2.18,1.2,703,0,0,0,3.46
2020-05-22 16:00:00,-3.86,3.22,2016,0,0,0,7.36
2020-05-25 16:00:00,-4.19,1.92,0,-1298.7,16343,-13703,6.38
2020-05-26 16:00:00,-2.14,4.33,2416.22,0,23684,-23784,6.61
2020-05-27 16:00:00,-2.73,6.06,1730,0,0,0,9.04
2020-05-28 16:00:00,-3.07,5.75,0,-318.28,5316,-8280,9.1
2020-05-29 16:00:00,-2.08,8.29,2540,0,0,0,10.59
2020-06-01 16:00:00,0.97,10.61,2320,0,0,0,9.55
2020-06-02 16:00:00,1.13,11.94,1333.4,0,16335,-13600,10.69
2020-06-03 16:00:00,1.49,13.74,1798,0,0,0,12.07
2020-06-04 16:00:00,1.65,14.98,1244,0,0,0,13.11
2020-06-05 16:00:00,1.86,14.98,0.73,0,11592,-15268,12.88
2020-06-08 16:00:00,1.78,13.61,0,-1368,0,0,11.62
2020-06-09 16:00:00,2.52,14.63,1018,0,3984,0,11.81
2020-06-10 16:00:00,2.86,14.7,68,0,0,0,11.51
2020-06-11 16:00:00,2.26,16.35,1647,0,0,0,13.78
2020-06-12 16:00:00,2.42,17.77,1421.8,0,0,0,14.99
2020-06-15 16:00:00,2.22,17.79,22.91,0,16592,-16995,15.23
2020-06-16 16:00:00,4.01,21.24,3445.2,0,28879,-28802,16.57
2020-06-17 16:00:00,4.62,22.08,839.74,0,17137,-16258,16.69
2020-06-18 16:00:00,4.92,20.78,0,-1301,0,0,15.12
2020-06-19 16:00:00,5.79,19.32,0,-1459,0,0,12.79
2020-06-22 16:00:00,6.13,18.47,0,-844,0,0,11.63
